word	chosen_tier	chosen_attested	also_fits	alternative_split	alt_stem	alt_stem_attested	suspicion
𐤋𐤏𐤌𐤉	exact	11	proclitic	𐤋 + 𐤏𐤌𐤉	𐤏𐤌𐤉	242	22.0
𐤌𐤔𐤌𐤏𐤕	plene	2	proclitic	𐤌 + 𐤔𐤌𐤏𐤕	𐤔𐤌𐤏𐤕	44	22.0
𐤁𐤊𐤆𐤁	plene	1	proclitic	𐤁 + 𐤊𐤆𐤁	𐤊𐤆𐤁	22	22.0
𐤄𐤐𐤔𐤏	exact	1	proclitic	𐤄 + 𐤐𐤔𐤏	𐤐𐤔𐤏	22	22.0
𐤋𐤏𐤃𐤕	exact	2	proclitic	𐤋 + 𐤏𐤃𐤕	𐤏𐤃𐤕	44	22.0
𐤅𐤏𐤃𐤕	exact	2	proclitic	𐤅 + 𐤏𐤃𐤕	𐤏𐤃𐤕	44	22.0
𐤅𐤄𐤔𐤀𐤉𐤓	exact	1	proclitic	𐤅 + 𐤄𐤔𐤀𐤉𐤓	𐤄𐤔𐤀𐤉𐤓	22	22.0
𐤌𐤋𐤀𐤅𐤕	exact	1	proclitic	𐤌 + 𐤋 + 𐤀𐤅𐤕	𐤀𐤅𐤕	22	22.0
𐤀𐤕𐤌𐤑𐤅𐤕𐤉𐤅	adjacent	1	particle	𐤀𐤕 + 𐤌𐤑𐤅𐤕𐤉𐤅	𐤌𐤑𐤅𐤕𐤉𐤅	22	22.0
𐤋𐤌𐤃𐤄	plene	1	proclitic	𐤋 + 𐤌𐤃𐤄	𐤌𐤃𐤄	22	22.0
𐤁𐤌𐤑𐤅𐤕𐤉𐤅	exact	1	proclitic	𐤁 + 𐤌𐤑𐤅𐤕𐤉𐤅	𐤌𐤑𐤅𐤕𐤉𐤅	22	22.0
𐤅𐤁𐤑𐤓	plene	3	proclitic	𐤅 + 𐤁 + 𐤑𐤓	𐤑𐤓	66	22.0
𐤌𐤁𐤉𐤕𐤅	exact	5	proclitic	𐤌 + 𐤁𐤉𐤕𐤅	𐤁𐤉𐤕𐤅	109	21.8
𐤋𐤓𐤒	plene	5	proclitic	𐤋 + 𐤓𐤒	𐤓𐤒	109	21.8
𐤋𐤁𐤍	exact	75	proclitic	𐤋 + 𐤁𐤍	𐤁𐤍	1634	21.8
𐤋𐤀𐤇𐤕	exact	8	proclitic	𐤋 + 𐤀𐤇𐤕	𐤀𐤇𐤕	173	21.6
𐤅𐤁𐤕	exact	10	proclitic	𐤅 + 𐤁𐤕	𐤁𐤕	215	21.5
𐤁𐤊𐤁𐤅𐤃	exact	4	proclitic	𐤁 + 𐤊𐤁𐤅𐤃	𐤊𐤁𐤅𐤃	86	21.5
𐤌𐤏𐤋𐤉𐤄	exact	8	proclitic	𐤌 + 𐤏𐤋𐤉𐤄	𐤏𐤋𐤉𐤄	172	21.5
𐤌𐤊𐤁𐤅𐤃	exact	4	proclitic	𐤌 + 𐤊𐤁𐤅𐤃	𐤊𐤁𐤅𐤃	86	21.5
𐤋𐤊𐤁𐤅𐤃	exact	4	proclitic	𐤋 + 𐤊𐤁𐤅𐤃	𐤊𐤁𐤅𐤃	86	21.5
𐤅𐤀𐤁𐤉𐤅	exact	9	proclitic	𐤅 + 𐤀𐤁𐤉𐤅	𐤀𐤁𐤉𐤅	193	21.4
𐤁𐤁𐤀𐤅	exact	15	proclitic	𐤁 + 𐤁 + 𐤀𐤅	𐤀𐤅	321	21.4
𐤅𐤄𐤏𐤅𐤋𐤌	plene	10	proclitic	𐤅 + 𐤄 + 𐤏𐤅𐤋𐤌	𐤏𐤅𐤋𐤌	214	21.4
𐤋𐤑𐤉𐤅𐤍	exact	5	proclitic	𐤋 + 𐤑𐤉𐤅𐤍	𐤑𐤉𐤅𐤍	107	21.4
𐤅𐤄𐤅𐤋𐤉𐤃	exact	4	proclitic	𐤅 + 𐤄𐤅𐤋𐤉𐤃	𐤄𐤅𐤋𐤉𐤃	85	21.3
𐤋𐤁𐤃𐤉	exact	16	proclitic	𐤋 + 𐤁 + 𐤃𐤉	𐤃𐤉	339	21.2
𐤋𐤏𐤌𐤅	exact	12	proclitic	𐤋 + 𐤏𐤌𐤅	𐤏𐤌𐤅	253	21.1
𐤅𐤆𐤓𐤁𐤁𐤋	exact	1	proclitic	𐤅 + 𐤆𐤓𐤁𐤁𐤋	𐤆𐤓𐤁𐤁𐤋	21	21.0
𐤅𐤌𐤓	exact	1	proclitic	𐤅 + 𐤌𐤓	𐤌𐤓	21	21.0
𐤅𐤋𐤈𐤅𐤁𐤉𐤌	plene	1	proclitic	𐤅 + 𐤋 + 𐤈𐤅𐤁𐤉𐤌	𐤈𐤅𐤁𐤉𐤌	21	21.0
𐤌𐤔𐤀𐤓	exact	1	proclitic	𐤌 + 𐤔𐤀𐤓	𐤔𐤀𐤓	21	21.0
𐤅𐤀𐤋𐤉𐤄𐤅	exact	3	proclitic	𐤅 + 𐤀𐤋𐤉𐤄𐤅	𐤀𐤋𐤉𐤄𐤅	63	21.0
𐤋𐤉𐤌𐤉𐤍𐤊	exact	1	proclitic	𐤋 + 𐤉𐤌𐤉𐤍𐤊	𐤉𐤌𐤉𐤍𐤊	21	21.0
𐤅𐤄𐤑𐤃𐤉𐤒𐤉𐤌	plene	2	proclitic	𐤅 + 𐤄 + 𐤑𐤃𐤉𐤒𐤉𐤌	𐤑𐤃𐤉𐤒𐤉𐤌	42	21.0
𐤅𐤄𐤑𐤓𐤏𐤕	exact	1	proclitic	𐤅 + 𐤄 + 𐤑𐤓𐤏𐤕	𐤑𐤓𐤏𐤕	21	21.0
𐤌𐤀𐤋𐤉𐤄	plene	4	proclitic	𐤌 + 𐤀𐤋𐤉𐤄	𐤀𐤋𐤉𐤄	84	21.0
𐤋𐤄𐤁𐤓	exact	1	proclitic	𐤋 + 𐤄 + 𐤁𐤓	𐤁𐤓	21	21.0
𐤅𐤌𐤔𐤀𐤓	plene	1	proclitic	𐤅 + 𐤌 + 𐤔𐤀𐤓	𐤔𐤀𐤓	21	21.0
𐤅𐤇𐤉𐤉𐤌	exact	4	proclitic	𐤅 + 𐤇𐤉𐤉𐤌	𐤇𐤉𐤉𐤌	84	21.0
𐤁𐤔𐤐𐤕	exact	2	proclitic	𐤁 + 𐤔𐤐𐤕	𐤔𐤐𐤕	42	21.0
𐤅𐤋𐤋𐤊𐤕	exact	4	proclitic	𐤅 + 𐤋𐤋𐤊𐤕	𐤋𐤋𐤊𐤕	84	21.0
𐤌𐤁𐤅𐤊𐤄	plene	1	proclitic	𐤌 + 𐤁 + 𐤅𐤊𐤄	𐤅𐤊𐤄	21	21.0
𐤊𐤋𐤄𐤆𐤒𐤍𐤉𐤌	adjacent	1	proclitic	𐤊 + 𐤋 + 𐤄𐤆𐤒𐤍𐤉𐤌	𐤄𐤆𐤒𐤍𐤉𐤌	21	21.0
𐤔𐤉𐤏𐤔𐤅	plene	1	proclitic	𐤔 + 𐤉𐤏𐤔𐤅	𐤉𐤏𐤔𐤅	21	21.0
𐤁𐤏𐤔𐤅𐤕	exact	1	proclitic	𐤁 + 𐤏𐤔𐤅𐤕	𐤏𐤔𐤅𐤕	21	21.0
𐤄𐤁𐤃𐤋	exact	1	proclitic	𐤄 + 𐤁 + 𐤃𐤋	𐤃𐤋	21	21.0
𐤔𐤊𐤁𐤓	exact	1	proclitic	𐤔 + 𐤊𐤁𐤓	𐤊𐤁𐤓	21	21.0
𐤊𐤇𐤉𐤉𐤌	plene	4	proclitic	𐤊 + 𐤇𐤉𐤉𐤌	𐤇𐤉𐤉𐤌	84	21.0
𐤊𐤁𐤔𐤍	exact	1	proclitic	𐤊 + 𐤁 + 𐤔𐤍	𐤔𐤍	21	21.0
𐤀𐤕𐤔𐤀𐤅𐤋	adjacent	19	particle	𐤀𐤕 + 𐤔𐤀𐤅𐤋	𐤔𐤀𐤅𐤋	394	20.7
𐤌𐤏𐤉𐤍𐤉𐤊	exact	3	proclitic	𐤌 + 𐤏𐤉𐤍𐤉𐤊	𐤏𐤉𐤍𐤉𐤊	62	20.7
𐤔𐤋𐤌𐤅𐤕	exact	6	proclitic	𐤔 + 𐤋 + 𐤌𐤅𐤕	𐤌𐤅𐤕	124	20.7
𐤅𐤌𐤋𐤊𐤉	exact	6	proclitic	𐤅 + 𐤌𐤋𐤊𐤉	𐤌𐤋𐤊𐤉	124	20.7
𐤁𐤏𐤋𐤄	exact	8	proclitic	𐤁 + 𐤏𐤋𐤄	𐤏𐤋𐤄	165	20.6
𐤄𐤌𐤏𐤋𐤄	exact	8	proclitic	𐤄 + 𐤌 + 𐤏𐤋𐤄	𐤏𐤋𐤄	165	20.6
𐤊𐤋𐤓𐤀𐤔𐤉	adjacent	5	proclitic	𐤊 + 𐤋 + 𐤓𐤀𐤔𐤉	𐤓𐤀𐤔𐤉	103	20.6
𐤀𐤕𐤓𐤀𐤔𐤉	adjacent	5	particle	𐤀𐤕 + 𐤓𐤀𐤔𐤉	𐤓𐤀𐤔𐤉	103	20.6
𐤁𐤀𐤓𐤁𐤏	exact	5	proclitic	𐤁 + 𐤀𐤓𐤁𐤏	𐤀𐤓𐤁𐤏	103	20.6
𐤁𐤔𐤋𐤇	exact	7	proclitic	𐤁 + 𐤔𐤋𐤇	𐤔𐤋𐤇	144	20.6
𐤅𐤄𐤍𐤇	exact	2	proclitic	𐤅 + 𐤄 + 𐤍𐤇	𐤍𐤇	41	20.5
𐤀𐤕𐤄𐤍𐤐𐤔	adjacent	2	particle	𐤀𐤕 + 𐤄𐤍𐤐𐤔	𐤄𐤍𐤐𐤔	41	20.5
𐤊𐤉𐤓𐤀𐤅	plene	2	proclitic	𐤊 + 𐤉𐤓𐤀𐤅	𐤉𐤓𐤀𐤅	41	20.5
𐤁𐤌𐤈𐤄	exact	4	proclitic	𐤁 + 𐤌𐤈𐤄	𐤌𐤈𐤄	82	20.5
𐤋𐤌𐤅𐤎𐤓	exact	2	proclitic	𐤋 + 𐤌𐤅𐤎𐤓	𐤌𐤅𐤎𐤓	41	20.5
𐤄𐤍𐤇	exact	2	proclitic	𐤄 + 𐤍𐤇	𐤍𐤇	41	20.5
𐤄𐤌𐤊𐤁𐤃	exact	2	proclitic	𐤄 + 𐤌 + 𐤊𐤁𐤃	𐤊𐤁𐤃	41	20.5
𐤌𐤃𐤅𐤓	exact	2	proclitic	𐤌 + 𐤃𐤅𐤓	𐤃𐤅𐤓	41	20.5
𐤌𐤁𐤔𐤓𐤅	exact	2	proclitic	𐤌 + 𐤁𐤔𐤓𐤅	𐤁𐤔𐤓𐤅	41	20.5
𐤁𐤒𐤃𐤔𐤉𐤌	exact	2	proclitic	𐤁 + 𐤒𐤃𐤔𐤉𐤌	𐤒𐤃𐤔𐤉𐤌	41	20.5
𐤁𐤄𐤉𐤊𐤋𐤅	exact	2	proclitic	𐤁 + 𐤄 + 𐤉𐤊𐤋𐤅	𐤉𐤊𐤋𐤅	41	20.5
𐤄𐤌𐤃𐤁𐤓	exact	39	proclitic	𐤄 + 𐤌 + 𐤃𐤁𐤓	𐤃𐤁𐤓	796	20.4
𐤅𐤌𐤏𐤈	exact	3	proclitic	𐤅 + 𐤌𐤏𐤈	𐤌𐤏𐤈	61	20.3
𐤅𐤀𐤕𐤍𐤅	exact	3	proclitic	𐤅 + 𐤀𐤕𐤍𐤅	𐤀𐤕𐤍𐤅	61	20.3
𐤁𐤌𐤆𐤁𐤇	exact	6	proclitic	𐤁 + 𐤌𐤆𐤁𐤇	𐤌𐤆𐤁𐤇	122	20.3
𐤅𐤃𐤁𐤓𐤅	exact	3	proclitic	𐤅 + 𐤃𐤁𐤓𐤅	𐤃𐤁𐤓𐤅	61	20.3
𐤁𐤇𐤎𐤃𐤅	plene	3	proclitic	𐤁 + 𐤇𐤎𐤃𐤅	𐤇𐤎𐤃𐤅	61	20.3
𐤅𐤋𐤁𐤅𐤀	exact	4	proclitic	𐤅 + 𐤋𐤁𐤅𐤀	𐤋𐤁𐤅𐤀	81	20.3
𐤀𐤕𐤊𐤋𐤌	adjacent	5	particle	𐤀𐤕 + 𐤊𐤋𐤌	𐤊𐤋𐤌	101	20.2
𐤀𐤕𐤄𐤌𐤋𐤊	adjacent	52	particle	𐤀𐤕 + 𐤄𐤌𐤋𐤊	𐤄𐤌𐤋𐤊	1050	20.2
𐤅𐤌𐤆𐤄	exact	16	proclitic	𐤅 + 𐤌 + 𐤆𐤄	𐤆𐤄	322	20.1
𐤌𐤀𐤇𐤉𐤅	exact	8	proclitic	𐤌 + 𐤀𐤇𐤉𐤅	𐤀𐤇𐤉𐤅	161	20.1
𐤀𐤕𐤄𐤌𐤅𐤍	adjacent	2	particle	𐤀𐤕 + 𐤄𐤌𐤅𐤍	𐤄𐤌𐤅𐤍	40	20.0
𐤅𐤄𐤉𐤌	exact	7	proclitic	𐤅 + 𐤄𐤉𐤌	𐤄𐤉𐤌	140	20.0
𐤅𐤄𐤌𐤅𐤍	exact	2	proclitic	𐤅 + 𐤄𐤌𐤅𐤍	𐤄𐤌𐤅𐤍	40	20.0
𐤅𐤀𐤔𐤓𐤉	exact	2	proclitic	𐤅 + 𐤀𐤔𐤓𐤉	𐤀𐤔𐤓𐤉	40	20.0
𐤅𐤌𐤎𐤓𐤅	plene	1	proclitic	𐤅 + 𐤌 + 𐤎𐤓𐤅	𐤎𐤓𐤅	20	20.0
𐤁𐤕𐤐𐤋𐤄	exact	1	proclitic	𐤁 + 𐤕𐤐𐤋𐤄	𐤕𐤐𐤋𐤄	20	20.0
𐤌𐤎𐤓𐤅	plene	1	proclitic	𐤌 + 𐤎𐤓𐤅	𐤎𐤓𐤅	20	20.0
𐤁𐤄𐤌𐤅𐤍	exact	2	proclitic	𐤁 + 𐤄𐤌𐤅𐤍	𐤄𐤌𐤅𐤍	40	20.0
𐤋𐤋𐤌𐤃𐤌	exact	1	proclitic	𐤋 + 𐤋 + 𐤌𐤃𐤌	𐤌𐤃𐤌	20	20.0
𐤋𐤌𐤎𐤓𐤅	plene	1	proclitic	𐤋 + 𐤌 + 𐤎𐤓𐤅	𐤎𐤓𐤅	20	20.0
𐤅𐤁𐤒𐤅𐤌𐤄	exact	1	proclitic	𐤅 + 𐤁 + 𐤒𐤅𐤌𐤄	𐤒𐤅𐤌𐤄	20	20.0
𐤄𐤏𐤒𐤁	exact	1	proclitic	𐤄 + 𐤏𐤒𐤁	𐤏𐤒𐤁	20	20.0
𐤀𐤕𐤔𐤍𐤉𐤄𐤌	adjacent	3	particle	𐤀𐤕 + 𐤔𐤍𐤉𐤄𐤌	𐤔𐤍𐤉𐤄𐤌	60	20.0
𐤊𐤌𐤑𐤀𐤅	plene	1	proclitic	𐤊 + 𐤌𐤑𐤀𐤅	𐤌𐤑𐤀𐤅	20	20.0
𐤀𐤕𐤁𐤂𐤃𐤅	adjacent	1	particle	𐤀𐤕 + 𐤁𐤂𐤃𐤅	𐤁𐤂𐤃𐤅	20	20.0
𐤋𐤃𐤓𐤊𐤊	exact	1	proclitic	𐤋 + 𐤃𐤓𐤊𐤊	𐤃𐤓𐤊𐤊	20	20.0
𐤊𐤔𐤌𐤅𐤏	plene	1	proclitic	𐤊 + 𐤔𐤌𐤅𐤏	𐤔𐤌𐤅𐤏	20	20.0
𐤌𐤅𐤎𐤓𐤅	plene	1	proclitic	𐤌 + 𐤅 + 𐤎𐤓𐤅	𐤎𐤓𐤅	20	20.0
𐤌𐤉𐤓𐤀𐤕	plene	1	proclitic	𐤌 + 𐤉𐤓𐤀𐤕	𐤉𐤓𐤀𐤕	20	20.0
𐤅𐤄𐤁𐤀𐤉𐤌	exact	2	proclitic	𐤅 + 𐤄 + 𐤁𐤀𐤉𐤌	𐤁𐤀𐤉𐤌	40	20.0
𐤀𐤕𐤃𐤓𐤊𐤉	adjacent	2	particle	𐤀𐤕 + 𐤃𐤓𐤊𐤉	𐤃𐤓𐤊𐤉	40	20.0
𐤌𐤄𐤌𐤑𐤀𐤅	adjacent	1	proclitic	𐤌 + 𐤄 + 𐤌𐤑𐤀𐤅	𐤌𐤑𐤀𐤅	20	20.0
𐤅𐤄𐤅𐤋𐤊	exact	2	proclitic	𐤅 + 𐤄𐤅𐤋𐤊	𐤄𐤅𐤋𐤊	40	20.0
𐤅𐤋𐤕𐤐𐤋𐤄	plene	1	proclitic	𐤅 + 𐤋 + 𐤕𐤐𐤋𐤄	𐤕𐤐𐤋𐤄	20	20.0
𐤋𐤍𐤒𐤌	exact	1	proclitic	𐤋 + 𐤍𐤒𐤌	𐤍𐤒𐤌	20	20.0
𐤅𐤁𐤕𐤐𐤋𐤄	plene	1	proclitic	𐤅 + 𐤁 + 𐤕𐤐𐤋𐤄	𐤕𐤐𐤋𐤄	20	20.0
𐤄𐤔𐤋𐤌	exact	2	proclitic	𐤄 + 𐤔𐤋𐤌	𐤔𐤋𐤌	40	20.0
𐤅𐤕𐤔𐤌𐤓	exact	1	proclitic	𐤅 + 𐤕𐤔𐤌𐤓	𐤕𐤔𐤌𐤓	20	20.0
𐤅𐤌𐤋𐤊𐤅𐤕𐤅	exact	1	proclitic	𐤅 + 𐤌𐤋𐤊𐤅𐤕𐤅	𐤌𐤋𐤊𐤅𐤕𐤅	20	20.0
𐤅𐤋𐤇𐤅𐤌𐤕	exact	1	proclitic	𐤅 + 𐤋 + 𐤇𐤅𐤌𐤕	𐤇𐤅𐤌𐤕	20	20.0
𐤅𐤂𐤃𐤅𐤋	exact	9	proclitic	𐤅 + 𐤂𐤃𐤅𐤋	𐤂𐤃𐤅𐤋	179	19.9
𐤌𐤏𐤁𐤃	plene	6	proclitic	𐤌 + 𐤏𐤁𐤃	𐤏𐤁𐤃	119	19.8
𐤋𐤊𐤄	exact	28	proclitic	𐤋 + 𐤊𐤄	𐤊𐤄	554	19.8
𐤁𐤅𐤀𐤊	exact	8	proclitic	𐤁 + 𐤅 + 𐤀𐤊	𐤀𐤊	158	19.8
𐤅𐤉𐤏𐤔𐤄	exact	8	proclitic	𐤅 + 𐤉𐤏𐤔𐤄	𐤉𐤏𐤔𐤄	158	19.8
𐤅𐤇𐤔𐤊	exact	3	proclitic	𐤅 + 𐤇𐤔𐤊	𐤇𐤔𐤊	59	19.7
𐤋𐤇𐤔𐤊	exact	3	proclitic	𐤋 + 𐤇𐤔𐤊	𐤇𐤔𐤊	59	19.7
𐤌𐤇𐤔𐤊	exact	3	proclitic	𐤌 + 𐤇𐤔𐤊	𐤇𐤔𐤊	59	19.7
𐤅𐤋𐤐𐤍𐤉	exact	34	proclitic	𐤅 + 𐤋𐤐𐤍𐤉	𐤋𐤐𐤍𐤉	668	19.6
𐤌𐤀𐤔𐤕	exact	5	proclitic	𐤌 + 𐤀𐤔𐤕	𐤀𐤔𐤕	98	19.6
𐤅𐤀𐤓𐤑	exact	25	proclitic	𐤅 + 𐤀𐤓𐤑	𐤀𐤓𐤑	490	19.6
𐤋𐤏𐤁𐤃𐤉𐤅	exact	5	proclitic	𐤋 + 𐤏𐤁𐤃𐤉𐤅	𐤏𐤁𐤃𐤉𐤅	98	19.6
𐤔𐤊𐤁𐤕	exact	11	proclitic	𐤔 + 𐤊 + 𐤁𐤕	𐤁𐤕	215	19.5
𐤁𐤔𐤌𐤉	exact	20	proclitic	𐤁 + 𐤔 + 𐤌𐤉	𐤌𐤉	390	19.5
𐤅𐤌𐤑𐤐𐤅𐤍	exact	2	proclitic	𐤅 + 𐤌 + 𐤑𐤐𐤅𐤍	𐤑𐤐𐤅𐤍	39	19.5
𐤋𐤀𐤃𐤍𐤉𐤅	exact	2	proclitic	𐤋 + 𐤀𐤃𐤍𐤉𐤅	𐤀𐤃𐤍𐤉𐤅	39	19.5
𐤋𐤔𐤋𐤇𐤅	exact	2	proclitic	𐤋 + 𐤔𐤋𐤇𐤅	𐤔𐤋𐤇𐤅	39	19.5
𐤁𐤉𐤕𐤓	exact	2	proclitic	𐤁 + 𐤉𐤕𐤓	𐤉𐤕𐤓	39	19.5
𐤁𐤑𐤁𐤀	exact	4	proclitic	𐤁 + 𐤑𐤁𐤀	𐤑𐤁𐤀	78	19.5
𐤊𐤉𐤉𐤄𐤅𐤄	plene	4	adjacent	𐤊𐤉 + 𐤉𐤄𐤅𐤄	𐤉𐤄𐤅𐤄	78	19.5
𐤌𐤉𐤌𐤉𐤌	exact	15	proclitic	𐤌 + 𐤉𐤌𐤉𐤌	𐤉𐤌𐤉𐤌	292	19.5
𐤀𐤕𐤌𐤔𐤐𐤈	adjacent	7	particle	𐤀𐤕 + 𐤌𐤔𐤐𐤈	𐤌𐤔𐤐𐤈	136	19.4
𐤀𐤕𐤉𐤔𐤓𐤀𐤋	adjacent	117	particle	𐤀𐤕 + 𐤉𐤔𐤓𐤀𐤋	𐤉𐤔𐤓𐤀𐤋	2266	19.4
𐤁𐤓𐤅𐤇	exact	11	proclitic	𐤁 + 𐤓𐤅𐤇	𐤓𐤅𐤇	213	19.4
𐤀𐤕𐤓𐤅𐤇	adjacent	11	particle	𐤀𐤕 + 𐤓𐤅𐤇	𐤓𐤅𐤇	213	19.4
𐤔𐤄𐤌	exact	9	proclitic	𐤔 + 𐤄𐤌	𐤄𐤌	174	19.3
𐤅𐤊𐤋𐤀𐤔𐤄	adjacent	3	proclitic	𐤅 + 𐤊 + 𐤋𐤀𐤔𐤄	𐤋𐤀𐤔𐤄	58	19.3
𐤋𐤀𐤋𐤄𐤉𐤍𐤅	exact	9	proclitic	𐤋 + 𐤀𐤋𐤄𐤉𐤍𐤅	𐤀𐤋𐤄𐤉𐤍𐤅	174	19.3
𐤀𐤕𐤀𐤁𐤉𐤅	adjacent	10	particle	𐤀𐤕 + 𐤀𐤁𐤉𐤅	𐤀𐤁𐤉𐤅	193	19.3
𐤅𐤉𐤏𐤒𐤁	exact	14	proclitic	𐤅 + 𐤉𐤏𐤒𐤁	𐤉𐤏𐤒𐤁	270	19.3
𐤀𐤕𐤃𐤌	adjacent	4	particle	𐤀𐤕 + 𐤃𐤌	𐤃𐤌	77	19.3
𐤅𐤀𐤇𐤉	exact	5	proclitic	𐤅 + 𐤀𐤇𐤉	𐤀𐤇𐤉	96	19.2
𐤄𐤔𐤋𐤔𐤄	exact	5	proclitic	𐤄 + 𐤔𐤋𐤔𐤄	𐤔𐤋𐤔𐤄	96	19.2
𐤋𐤎𐤐𐤓	exact	6	proclitic	𐤋 + 𐤎𐤐𐤓	𐤎𐤐𐤓	115	19.2
𐤁𐤋𐤁𐤅	exact	19	proclitic	𐤁 + 𐤋 + 𐤁𐤅	𐤁𐤅	364	19.2
𐤀𐤕𐤉𐤅𐤕𐤌	plene	1	particle	𐤀𐤕 + 𐤉𐤅𐤕𐤌	𐤉𐤅𐤕𐤌	19	19.0
𐤅𐤀𐤌𐤅𐤍	plene	1	proclitic	𐤅 + 𐤀𐤌𐤅𐤍	𐤀𐤌𐤅𐤍	19	19.0
𐤅𐤄𐤃𐤓𐤔	plene	1	proclitic	𐤅 + 𐤄 + 𐤃𐤓𐤔	𐤃𐤓𐤔	19	19.0
𐤅𐤒𐤔𐤄	exact	1	proclitic	𐤅 + 𐤒𐤔𐤄	𐤒𐤔𐤄	19	19.0
𐤄𐤔𐤍𐤉𐤌	exact	15	proclitic	𐤄 + 𐤔𐤍𐤉𐤌	𐤔𐤍𐤉𐤌	285	19.0
𐤅𐤄𐤉𐤉𐤍	exact	3	proclitic	𐤅 + 𐤄 + 𐤉𐤉𐤍	𐤉𐤉𐤍	57	19.0
𐤋𐤉𐤔𐤅𐤏	exact	1	proclitic	𐤋 + 𐤉𐤔𐤅𐤏	𐤉𐤔𐤅𐤏	19	19.0
𐤀𐤕𐤄𐤓𐤅𐤇	adjacent	1	particle	𐤀𐤕 + 𐤄𐤓𐤅𐤇	𐤄𐤓𐤅𐤇	19	19.0
𐤁𐤉𐤔𐤅𐤏	plene	1	proclitic	𐤁 + 𐤉𐤔𐤅𐤏	𐤉𐤔𐤅𐤏	19	19.0
𐤅𐤋𐤄𐤊𐤉𐤍	exact	1	proclitic	𐤅 + 𐤋 + 𐤄𐤊𐤉𐤍	𐤄𐤊𐤉𐤍	19	19.0
𐤅𐤌𐤒𐤔𐤄	exact	1	proclitic	𐤅 + 𐤌 + 𐤒𐤔𐤄	𐤒𐤔𐤄	19	19.0
𐤔𐤋𐤉𐤔𐤉	exact	2	proclitic	𐤔 + 𐤋 + 𐤉𐤔𐤉	𐤉𐤔𐤉	38	19.0
𐤅𐤄𐤀𐤌𐤕	exact	3	proclitic	𐤅 + 𐤄 + 𐤀𐤌𐤕	𐤀𐤌𐤕	57	19.0
𐤊𐤋𐤄𐤓𐤀𐤄	adjacent	1	proclitic	𐤊 + 𐤋 + 𐤄𐤓𐤀𐤄	𐤄𐤓𐤀𐤄	19	19.0
𐤁𐤆𐤓𐤏𐤊	exact	2	proclitic	𐤁 + 𐤆𐤓𐤏𐤊	𐤆𐤓𐤏𐤊	38	19.0
𐤋𐤁𐤑𐤏	plene	1	proclitic	𐤋 + 𐤁𐤑𐤏	𐤁𐤑𐤏	19	19.0
𐤋𐤄𐤏𐤆𐤓	exact	1	proclitic	𐤋 + 𐤄 + 𐤏𐤆𐤓	𐤏𐤆𐤓	19	19.0
𐤌𐤉𐤉𐤕𐤍	plene	1	adjacent	𐤌𐤉 + 𐤉𐤕𐤍	𐤉𐤕𐤍	19	19.0
𐤋𐤇𐤊𐤌𐤄	exact	4	proclitic	𐤋 + 𐤇𐤊𐤌𐤄	𐤇𐤊𐤌𐤄	76	19.0
𐤁𐤆𐤁𐤇𐤉	exact	1	proclitic	𐤁 + 𐤆𐤁𐤇𐤉	𐤆𐤁𐤇𐤉	19	19.0
𐤁𐤕𐤐𐤋𐤕𐤉	plene	1	proclitic	𐤁 + 𐤕𐤐𐤋𐤕𐤉	𐤕𐤐𐤋𐤕𐤉	19	19.0
𐤄𐤁𐤑𐤏	exact	1	proclitic	𐤄 + 𐤁𐤑𐤏	𐤁𐤑𐤏	19	19.0
𐤋𐤁𐤀𐤓	exact	2	proclitic	𐤋 + 𐤁𐤀𐤓	𐤁𐤀𐤓	38	19.0
𐤋𐤌𐤅𐤔𐤁	exact	2	proclitic	𐤋 + 𐤌 + 𐤅𐤔𐤁	𐤅𐤔𐤁	38	19.0
𐤊𐤊𐤕𐤁	exact	1	proclitic	𐤊 + 𐤊𐤕𐤁	𐤊𐤕𐤁	19	19.0
𐤅𐤀𐤁𐤋	exact	2	proclitic	𐤅 + 𐤀𐤁𐤋	𐤀𐤁𐤋	38	19.0
𐤁𐤉𐤔𐤓𐤀𐤋	exact	120	proclitic	𐤁 + 𐤉𐤔𐤓𐤀𐤋	𐤉𐤔𐤓𐤀𐤋	2266	18.9
𐤁𐤐𐤍𐤉𐤅	exact	5	proclitic	𐤁 + 𐤐𐤍𐤉𐤅	𐤐𐤍𐤉𐤅	94	18.8
𐤀𐤕𐤄𐤔𐤃𐤄	adjacent	7	particle	𐤀𐤕 + 𐤄𐤔𐤃𐤄	𐤄𐤔𐤃𐤄	131	18.7
𐤄𐤓𐤁	exact	10	proclitic	𐤄 + 𐤓𐤁	𐤓𐤁	186	18.6
𐤁𐤏𐤔𐤓𐤉𐤌	exact	11	proclitic	𐤁 + 𐤏𐤔𐤓𐤉𐤌	𐤏𐤔𐤓𐤉𐤌	204	18.5
𐤁𐤉𐤃𐤉𐤄𐤌	exact	2	proclitic	𐤁 + 𐤉𐤃𐤉𐤄𐤌	𐤉𐤃𐤉𐤄𐤌	37	18.5
𐤅𐤒𐤄𐤋	exact	2	proclitic	𐤅 + 𐤒𐤄𐤋	𐤒𐤄𐤋	37	18.5
𐤅𐤁𐤏𐤁𐤅𐤓	exact	2	proclitic	𐤅 + 𐤁𐤏𐤁𐤅𐤓	𐤁𐤏𐤁𐤅𐤓	37	18.5
